id,hautpflege_haeufigkeit,produkt_sonnenschutz,produkt_duschgel,produkt_seife,produkt_gesichtsreinigung,produkt_gesichtscreme,produkt_lotion,produkt_deo,produkt_bodyspray,medien_podcasts,medien_tv,medien_socialmedia,medien_internet,medien_print,nutzen_sensitiv,nutzen_duft,nutzen_medizinisch,nutzen_lfs,nutzen_reinigend,nutzen_feuchtigkeit,eigenschaft_nachhaltig,eigenschaft_natürlich,eigenschaft_vegan,eigenschaft_mikroplastik,eigenschaft_marke,eigenschaft_günstig,kauf_frequenz,kauf_budget,kauf_ort,ex_nutzen,ex_herstellung,anker,kauf,zahlungsbereitschaft,geschlecht,alter,erwerbsstatus,einkommen
216,nie,,,,,,,,,"nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst",4,4,5,4,6,5,4,4,4,3,,4,einmal im Monat,weniger als 10 Euro,Supermarkt,1,1,0,Ja,22,männlich,26,Erwerbstätigkeit,4900
217,mehrmals wöchentlich,"ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","ja, regelmäßig","ja, regelmäßig","nein, nicht bewusst","nein, nicht bewusst","ja, regelmäßig",3,4,6,4,4,4,4,4,5,6,4,4,mehrmals im Monat,,Supermarkt,1,0,0,Nein,12,weiblich,19,Studium,600
218,mehrmals wöchentlich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","ja, manchmal","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt",4,6,5,6,6,4,6,4,6,5,5,5,,weniger als 10 Euro,Supermarkt,0,1,1,Nein,11,,25,Studium,600
219,täglich,,"ja, manchmal","ja, manchmal","nein, nie","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","ja, vereinzelt","ja, vereinzelt","ja, vereinzelt","nein, nicht bewusst",3,4,3,3,3,4,4,3,4,2,4,4,einmal im Monat,,Drogerien,0,0,1,Nein,18,,,Sonstiges,1800
220,täglich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","ja, vereinzelt","ja, regelmäßig",4,6,5,3,5,2,5,4,6,6,6,4,wöchentlich,50 Euro bis weniger als 100 Euro,Drogerien,0,0,0,Ja,15,männlich,26,Erwerbstätigkeit,
221,seltener,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","nein, nie","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst",4,5,4,5,,3,4,5,4,4,5,4,mehrmals im Monat,10 Euro bis weniger als 25 Euro,Supermarkt,1,0,0,Ja,18,männlich,,Studium,
222,nie,,,,,,,,,"nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst",6,,3,6,3,3,5,2,3,4,4,4,nie,weniger als 10 Euro,Supermarkt,0,1,1,Nein,12,,26,Studium,600
223,täglich,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","ja, regelmäßig","ja, vereinzelt","ja, regelmäßig","ja, regelmäßig","ja, vereinzelt",3,3,2,6,4,4,4,5,3,2,3,5,wöchentlich,50 Euro bis weniger als 100 Euro,Drogerien,0,0,0,Nein,11,weiblich,19,Schule,100
224,mehrmals wöchentlich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","ja, vereinzelt","ja, regelmäßig","nein, nicht bewusst","ja, regelmäßig","ja, regelmäßig",5,4,3,3,3,4,5,3,3,4,5,6,mehrmals im Monat,25 Euro bis weniger als 50 Euro,Drogerien,1,0,1,Nein,15,weiblich,20,Sonstiges,1300
225,mehrmals wöchentlich,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","nein, nie","ja, sehr regelmäßig","ja, manchmal",,"ja, regelmäßig","nein, nicht bewusst","ja, vereinzelt","ja, vereinzelt",3,6,4,6,6,2,6,6,6,2,4,6,mehrmals im Monat,10 Euro bis weniger als 25 Euro,Supermarkt,0,1,1,Nein,21,weiblich,16,Schule,100
226,mehrmals wöchentlich,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","nein, nicht bewusst","ja, regelmäßig","ja, vereinzelt","ja, vereinzelt",5,4,5,6,5,5,5,6,5,4,6,5,mehrmals im Monat,25 Euro bis weniger als 50 Euro,Drogerien,0,1,0,Ja,17,weiblich,25,Ausbildung,
227,nie,,,,,,,,,"nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst",3,6,4,6,6,3,4,6,4,3,4,6,seltener,weniger als 10 Euro,Drogerien,0,0,1,Nein,2,weiblich,21,Erwerbstätigkeit,5000
228,seltener,"nein, nie","ja, manchmal","nein, nie","nein, nie","nein, nie","nein, nie","ja, manchmal","nein, nie","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt",3,2,1,2,4,3,2,4,3,,4,3,nie,10 Euro bis weniger als 25 Euro,Drogerien,1,1,0,Ja,17,weiblich,20,Erwerbstätigkeit,3200
229,täglich,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","ja, regelmäßig","ja, regelmäßig","ja, regelmäßig","ja, vereinzelt",6,3,4,,4,2,5,4,4,2,5,6,mehrmals im Monat,25 Euro bis weniger als 50 Euro,Drogerien,0,0,1,Nein,11,weiblich,22,Studium,600
230,seltener,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","ja, vereinzelt","nein, nicht bewusst",5,4,3,5,5,5,6,4,,3,4,6,einmal im Monat,0 Euro,Supermarkt,1,1,0,Ja,25,männlich,20,Erwerbstätigkeit,5000
231,,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig",,"ja, regelmäßig","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst",5,4,5,4,4,5,5,5,5,4,4,5,mehrmals im Monat,25 Euro bis weniger als 50 Euro,Supermarkt,1,1,0,Ja,29,,22,Studium,700
232,mehrmals wöchentlich,"ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, manchmal","nein, nie","nein, nie","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","ja, vereinzelt","ja, regelmäßig","nein, nicht bewusst","ja, vereinzelt",2,4,3,4,5,3,4,3,4,4,6,6,mehrmals im Monat,10 Euro bis weniger als 25 Euro,Supermarkt,0,1,0,Ja,13,männlich,24,Ausbildung,700
233,mehrmals wöchentlich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal",,,"ja, sehr regelmäßig","ja, regelmäßig","ja, vereinzelt","nein, nicht bewusst","ja, vereinzelt","ja, regelmäßig",4,6,6,6,6,4,6,6,6,6,6,6,mehrmals im Monat,25 Euro bis weniger als 50 Euro,Drogerien,1,0,0,Ja,21,,23,Studium,
234,mehrmals wöchentlich,"ja, manchmal","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","ja, vereinzelt","ja, regelmäßig","ja, regelmäßig","ja, vereinzelt",3,4,5,6,4,3,4,3,3,3,3,6,mehrmals im Monat,10 Euro bis weniger als 25 Euro,Supermarkt,1,0,1,Nein,20,männlich,24,Studium,400
235,mehrmals wöchentlich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","ja, manchmal",,"ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","nein, nicht bewusst","ja, regelmäßig","ja, regelmäßig","ja, vereinzelt",4,3,3,4,4,3,3,4,4,3,4,4,einmal im Monat,,Apotheke oder spezialisierter Fachhandel,1,1,1,Ja,30,weiblich,28,Erwerbstätigkeit,1800
236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,seltener,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","ja, manchmal","nein, nie","ja, sehr regelmäßig","ja, manchmal","nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst",3,5,5,4,4,4,5,3,4,4,4,5,seltener,0 Euro,Supermarkt,1,1,0,Ja,17,divers,22,Studium,800
238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,nie,,,,,,,,,"nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst",5,4,5,6,5,6,4,4,6,5,5,6,einmal im Monat,0 Euro,Supermarkt,1,1,0,Ja,26,männlich,29,Sonstiges,1800
240,mehrmals wöchentlich,"ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nicht bewusst","ja, regelmäßig",,"ja, vereinzelt","nein, nicht bewusst",3,6,4,6,4,4,6,2,5,4,4,5,seltener,10 Euro bis weniger als 25 Euro,Drogerien,0,1,0,Ja,21,,22,Studium,400
241,täglich,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, regelmäßig","ja, regelmäßig","ja, vereinzelt","ja, vereinzelt","nein, nicht bewusst",4,6,6,6,,5,6,3,6,3,5,,mehrmals im Monat,50 Euro bis weniger als 100 Euro,Drogerien,1,0,1,Nein,24,weiblich,27,Studium,600
242,mehrmals wöchentlich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","nein, nie","nein, nie","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","ja, vereinzelt","ja, vereinzelt",,"nein, nicht bewusst",4,3,1,4,5,3,3,6,4,1,4,4,,25 Euro bis weniger als 50 Euro,Apotheke oder spezialisierter Fachhandel,1,0,0,Ja,16,männlich,,Erwerbstätigkeit,4400
243,seltener,"nein, nie","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","nein, nie","nein, nie","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst",4,4,3,4,,2,4,4,6,3,6,6,nie,0 Euro,Supermarkt,0,0,1,Nein,3,weiblich,23,Studium,500
244,seltener,"nein, nie","nein, nie","nein, nie","nein, nie","nein, nie","nein, nie","ja, manchmal","nein, nie","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst",2,1,1,1,1,1,2,4,1,2,2,2,nie,10 Euro bis weniger als 25 Euro,Supermarkt,0,0,1,Nein,6,,18,Schule,
245,seltener,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst",3,4,3,4,4,4,4,4,5,3,3,4,einmal im Monat,10 Euro bis weniger als 25 Euro,Supermarkt,0,1,1,Nein,12,weiblich,32,Sonstiges,600
246,seltener,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, manchmal","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","ja, vereinzelt",,5,6,6,6,4,3,6,6,3,6,6,6,einmal im Monat,0 Euro,Supermarkt,1,1,1,Nein,21,männlich,25,Studium,
247,mehrmals wöchentlich,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, manchmal","ja, regelmäßig","nein, nicht bewusst","ja, vereinzelt",,"ja, regelmäßig",4,5,4,6,4,5,6,5,4,6,6,5,wöchentlich,25 Euro bis weniger als 50 Euro,Drogerien,0,1,1,Nein,17,,20,Studium,400
248,mehrmals wöchentlich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","ja, sehr regelmäßig","ja, manchmal","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst","nein, nicht bewusst",2,6,6,6,6,3,6,6,6,4,6,6,einmal im Monat,10 Euro bis weniger als 25 Euro,Drogerien,1,0,0,Ja,13,,21,Studium,300
249,mehrmals wöchentlich,"ja, manchmal","ja, sehr regelmäßig","ja, manchmal","ja, sehr regelmäßig","ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst",2,6,6,5,4,,4,5,4,3,4,4,einmal im Monat,10 Euro bis weniger als 25 Euro,Drogerien,0,0,1,Nein,16,männlich,22,Erwerbstätigkeit,3200
250,mehrmals wöchentlich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","ja, manchmal","nein, nie","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst","nein, nicht bewusst",6,1,4,2,5,3,1,6,1,1,6,6,mehrmals im Monat,25 Euro bis weniger als 50 Euro,Drogerien,1,0,1,Nein,24,weiblich,21,Erwerbstätigkeit,2500
251,täglich,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst",,"nein, nicht bewusst",6,5,5,6,4,4,4,5,4,5,5,6,seltener,25 Euro bis weniger als 50 Euro,Apotheke oder spezialisierter Fachhandel,1,1,1,Ja,33,weiblich,25,Erwerbstätigkeit,2800
252,nie,,,,,,,,,"nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","ja, vereinzelt","nein, nicht bewusst",5,4,4,6,4,3,6,4,5,5,6,6,mehrmals im Monat,weniger als 10 Euro,Supermarkt,0,0,0,Nein,7,,19,Schule,
253,täglich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","ja, regelmäßig","ja, vereinzelt","ja, regelmäßig","ja, regelmäßig","ja, vereinzelt",3,3,4,4,4,3,4,5,4,4,4,6,mehrmals im Monat,25 Euro bis weniger als 50 Euro,Drogerien,1,0,1,Nein,19,weiblich,26,Studium,700
254,mehrmals wöchentlich,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, manchmal","nein, nicht bewusst","ja, vereinzelt","ja, vereinzelt","ja, vereinzelt","nein, nicht bewusst",4,5,6,6,6,2,4,6,4,6,6,6,seltener,weniger als 10 Euro,Supermarkt,1,1,0,Ja,20,,29,Erwerbstätigkeit,5000
255,täglich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","ja, regelmäßig","nein, nicht bewusst",,"ja, vereinzelt","ja, vereinzelt",4,4,4,5,6,5,4,3,6,3,4,5,mehrmals im Monat,50 Euro bis weniger als 100 Euro,Drogerien,1,0,1,Nein,19,weiblich,24,Erwerbstätigkeit,5000
256,täglich,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, sehr regelmäßig","ja, manchmal","ja, sehr regelmäßig","ja, manchmal","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","ja, vereinzelt","ja, regelmäßig",,5,5,5,4,2,4,5,5,5,4,5,wöchentlich,50 Euro bis weniger als 100 Euro,Drogerien,1,0,0,Ja,14,weiblich,26,Studium,400
257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,seltener,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig",,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst","nein, nicht bewusst",5,6,4,6,6,4,6,5,6,3,6,6,einmal im Monat,weniger als 10 Euro,Supermarkt,0,0,1,Nein,14,weiblich,31,,3500
259,seltener,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, vereinzelt","ja, vereinzelt","ja, vereinzelt","ja, vereinzelt","nein, nicht bewusst",3,6,6,6,6,4,6,4,6,6,4,6,einmal im Monat,10 Euro bis weniger als 25 Euro,Drogerien,1,0,1,Nein,15,weiblich,,Erwerbstätigkeit,
260,mehrmals wöchentlich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal",,"nein, nie","ja, regelmäßig","ja, regelmäßig","ja, regelmäßig","ja, regelmäßig","ja, vereinzelt",3,3,5,5,5,3,4,6,3,4,5,3,,50 Euro bis weniger als 100 Euro,Drogerien,1,0,0,Ja,17,weiblich,23,Studium,700
261,seltener,"ja, sehr regelmäßig","ja, manchmal","ja, manchmal","nein, nie","nein, nie","ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nicht bewusst","nein, nicht bewusst",,"nein, nicht bewusst","nein, nicht bewusst",4,6,4,6,4,3,5,5,5,4,4,,mehrmals im Monat,10 Euro bis weniger als 25 Euro,,0,0,1,Nein,13,,17,Ausbildung,900
262,nie,,,,,,,,,"nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst",4,4,,6,6,6,6,6,6,6,6,4,seltener,0 Euro,Supermarkt,1,0,1,Nein,,männlich,24,Erwerbstätigkeit,
263,mehrmals wöchentlich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, manchmal","nein, nicht bewusst","ja, regelmäßig","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst",4,5,5,4,4,3,4,5,4,5,5,6,einmal im Monat,weniger als 10 Euro,,1,0,0,Ja,17,divers,24,Erwerbstätigkeit,
264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,mehrmals wöchentlich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, sehr regelmäßig","ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","ja, vereinzelt","nein, nicht bewusst",5,6,,6,6,4,6,5,6,6,6,6,seltener,,Supermarkt,0,0,1,Nein,8,weiblich,28,Erwerbstätigkeit,3300
266,mehrmals wöchentlich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, regelmäßig","ja, regelmäßig","ja, vereinzelt","nein, nicht bewusst","ja, regelmäßig",4,5,4,4,4,5,4,4,3,,5,6,einmal im Monat,10 Euro bis weniger als 25 Euro,Drogerien,1,1,0,Ja,19,weiblich,25,Ausbildung,600
267,seltener,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie",,"nein, nie","ja, sehr regelmäßig",,"nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst","ja, vereinzelt",4,5,4,4,5,4,4,5,6,3,4,5,seltener,weniger als 10 Euro,Supermarkt,1,0,1,Nein,17,weiblich,23,Erwerbstätigkeit,
268,täglich,"ja, manchmal","nein, nie","ja, sehr regelmäßig","nein, nie","nein, nie","nein, nie","ja, manchmal","nein, nie","nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt",2,3,3,6,,2,4,5,5,4,6,6,seltener,weniger als 10 Euro,Supermarkt,1,0,0,Nein,12,männlich,24,Erwerbstätigkeit,2000
269,täglich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, manchmal","nein, nicht bewusst","ja, vereinzelt","ja, regelmäßig","ja, regelmäßig","nein, nicht bewusst",4,6,2,6,6,3,5,,6,1,6,6,einmal im Monat,10 Euro bis weniger als 25 Euro,Drogerien,1,1,0,Ja,23,männlich,20,Sonstiges,1200
270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,mehrmals wöchentlich,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nicht bewusst","ja, regelmäßig","ja, vereinzelt","ja, vereinzelt","nein, nicht bewusst",6,6,6,6,6,4,6,4,6,6,6,6,mehrmals im Monat,10 Euro bis weniger als 25 Euro,Supermarkt,1,1,1,Ja,32,,33,Sonstiges,1500
272,mehrmals wöchentlich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","ja, manchmal","nein, nie","ja, sehr regelmäßig","ja, manchmal","nein, nicht bewusst","ja, vereinzelt","ja, vereinzelt","nein, nicht bewusst","ja, regelmäßig",4,6,3,6,4,3,6,6,5,3,6,6,mehrmals im Monat,10 Euro bis weniger als 25 Euro,Supermarkt,0,0,0,Ja,14,männlich,27,Erwerbstätigkeit,1900
273,mehrmals wöchentlich,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt",4,4,4,6,5,4,4,3,4,4,6,6,seltener,10 Euro bis weniger als 25 Euro,Apotheke oder spezialisierter Fachhandel,0,1,0,Ja,22,weiblich,25,Ausbildung,500
274,seltener,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, regelmäßig","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt",,4,6,4,6,6,4,6,6,6,3,6,6,mehrmals im Monat,10 Euro bis weniger als 25 Euro,Drogerien,1,0,0,Nein,10,weiblich,22,Studium,600
275,mehrmals wöchentlich,"nein, nie","ja, manchmal","ja, sehr regelmäßig","nein, nie","nein, nie","nein, nie","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst",3,4,4,4,5,3,4,5,5,5,4,6,,weniger als 10 Euro,Supermarkt,0,1,1,Nein,19,männlich,23,Studium,300
276,mehrmals wöchentlich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","ja, vereinzelt","ja, vereinzelt","ja, vereinzelt","ja, vereinzelt",3,3,4,5,3,4,,5,,3,4,,einmal im Monat,10 Euro bis weniger als 25 Euro,Supermarkt,1,0,1,Nein,23,weiblich,24,Studium,500
277,mehrmals wöchentlich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","nein, nie","nein, nie","ja, sehr regelmäßig",,"nein, nicht bewusst","ja, vereinzelt",,"ja, vereinzelt","nein, nicht bewusst",4,4,4,4,4,1,5,5,4,4,5,6,seltener,weniger als 10 Euro,Supermarkt,0,1,0,Nein,9,weiblich,21,Ausbildung,700
278,seltener,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst",4,6,6,6,6,2,6,6,6,4,6,6,einmal im Monat,weniger als 10 Euro,Drogerien,0,0,1,Nein,10,divers,17,Schule,
279,mehrmals wöchentlich,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","nein, nicht bewusst",,,"nein, nicht bewusst",4,4,6,5,6,3,4,6,6,6,5,5,mehrmals im Monat,10 Euro bis weniger als 25 Euro,Drogerien,1,1,1,Ja,34,männlich,20,Studium,400
280,,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst","ja, vereinzelt","ja, regelmäßig",6,6,4,,5,4,5,5,4,4,6,5,einmal im Monat,10 Euro bis weniger als 25 Euro,Drogerien,1,1,0,Ja,29,divers,,Erwerbstätigkeit,5000
281,seltener,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","ja, vereinzelt",6,4,4,6,6,5,4,4,5,5,,6,einmal im Monat,10 Euro bis weniger als 25 Euro,Apotheke oder spezialisierter Fachhandel,0,0,0,Nein,10,weiblich,28,Erwerbstätigkeit,2800
